Title,Location,Country,Date,JobID,Description,Requisition Type,Requisition Id,Job Schedule,Degree Level,Contract Type,Location Name,Apply Link
Consultant - Recruitment,"Delhi, India",IN,2022-05-31,280,End to end IT recruitment involves for Srilanka Market,Permanent,300000316627395,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/280/apply/email
Assistant General Manager,"New Delhi, Delhi, India",IN,2022-05-31,281,,Permanent,300000316661633,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/281/apply/email
Trainee Software Engineer,"Bengaluru South, Karnataka, India",IN,2022-05-30,120,,Permanent,300000203271699,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/120/apply/email
Graphic Designer,"Bengaluru East, Karnataka, India",IN,2022-05-30,189,,Permanent,300000275337221,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/189/apply/email
Account Manager,"Mumbai, Maharashtra, India",IN,2022-05-30,190,,Retainer,300000275412156,Full time,Three Years College,Temporary,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/190/apply/email
Key Account Manager,"Pune, Maharashtra, India",IN,2022-05-30,198,,Permanent,300000275488026,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/198/apply/email
Assistant Manager - Marketing,"Bangalore, Karnataka, India",IN,2022-05-30,219,,Permanent,300000287776244,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/219/apply/email
Assistant Manager,India,IN,2022-05-30,247,,Permanent,300000310190724,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/247/apply/email
Senior Manager - Marketing,"Bangalore, Karnataka, India",IN,2022-05-30,249,"As a Senior Manager leading the Marketing efforts for Quess Workforce Management, you'll help set the vision and define what the future looks like. Along with key stakeholders, you will help define and build the brand’s identity in new markets.",Permanent,300000310404192,Full time,Master's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/249/apply/email
Executive - Procurement,"Bengaluru South, Karnataka, India",IN,2022-05-30,253,,Permanent,300000311065838,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/253/apply/email
Manager - Customer Success,India,IN,2022-05-30,259,,Permanent,300000311647489,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/259/apply/email
Senior Sales - Manager,"Hyderabad, Telangana, India",IN,2022-05-30,262,,Permanent,300000311730438,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/262/apply/email
Senior Executive - Sales,"Telangana, India",IN,2022-05-27,117,,Permanent,300000202463010,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/117/apply/email
Trainee Software Engineer,"Bangalore, Karnataka, India",IN,2022-05-27,203,,Permanent,300000281426012,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/203/apply/email
Branch Manager,"Karnataka, India",IN,2022-05-27,228,,Permanent,300000288550166,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/228/apply/email
Team Lead - Recruitment,India,IN,2022-05-27,233,,Permanent,300000293858308,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/233/apply/email
Manager - Marketing & Communication,"Bangalore, Karnataka, India",IN,2022-05-26,195,,Permanent,300000275399315,Full time,Post Bachelor's,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/195/apply/email
